,implementation,preprocess,mean_type,distance,threshold,f1,accuracy
411,USE,lower,median,l1,9.20920126778739,0.504065040650407,0.945807884508606
286,USE,lower,mean,l1,10.1311565580822,0.503703703703704,0.944197667962243
680,USE,none,median,l1,13.5727340456039,0.502022471910112,0.876957245974459
542,USE,none,mean,l1,10.1510175069173,0.50098814229249,0.943920044419767
108,USE,lower_clean,mean,l2,0.794290858523336,0.499358700299273,0.869961132704053
606,USE,none,mean,l2,0.554129842834485,0.496187086934418,0.944975013881177
478,USE,lower,median,l2,0.553809935427436,0.494752623688156,0.943864519711272
43,USE,lower_clean,mean,l1,14.3823958200122,0.494458653026428,0.868295391449195
667,USE,none,median,l1,9.16159548078264,0.493586454592098,0.945197112715158
734,USE,none,median,l2,0.555938850145599,0.493273542600897,0.9435313714603
296,USE,lower,mean,l1,13.5082087441096,0.491220068415051,0.876124375347029
350,USE,lower,mean,l2,0.547690072992108,0.49025641025641,0.944808439755691
94,USE,lower_clean,mean,l2,0.541561948993183,0.490196078431373,0.945141588006663
424,USE,lower,median,l1,13.6432611374628,0.489431248638048,0.869905607995558
552,USE,none,mean,l1,13.5346900092231,0.48868778280543,0.874514158800666
617,USE,none,mean,l2,0.757310785207129,0.488199300699301,0.869961132704053
154,USE,lower_clean,median,l1,8.82268330407521,0.484375,0.945030538589672
410,USE,lower,median,l1,8.86811973935082,0.484188698807672,0.944752915047196
221,USE,lower_clean,median,l2,0.530469114760074,0.480908152734778,0.944142143253748
489,USE,lower,median,l2,0.756873578417496,0.479502533394749,0.874514158800666
477,USE,lower,median,l2,0.535349604246521,0.476780185758514,0.943697945585786
745,USE,none,median,l2,0.759783095198985,0.475907741493492,0.872570794003332
285,USE,lower,mean,l1,9.79345133947948,0.474226804123711,0.943364797334814
29,USE,lower_clean,mean,l1,9.69975532047332,0.473163105784263,0.943864519711272
153,USE,lower_clean,median,l1,8.48334933084155,0.47220751720487,0.944641865630206
733,USE,none,median,l2,0.537407555140745,0.471863706763036,0.943198223209328
541,USE,none,mean,l1,9.81265025668674,0.470284237726098,0.943087173792338
171,USE,lower_clean,median,l1,14.5913608490475,0.46936323588306,0.852859522487507
666,USE,none,median,l1,8.82227712964255,0.469291338582677,0.943864519711272
236,USE,lower_clean,median,l2,0.804849691360112,0.468157614483493,0.861354802887285
362,USE,lower,mean,l2,0.766766102188951,0.465979381443299,0.856191004997224
409,USE,lower,median,l1,8.52703821091425,0.462193823216188,0.943920044419767
665,USE,none,median,l1,8.48295877850245,0.4608,0.943864519711272
605,USE,none,mean,l2,0.535658848073335,0.460484720758693,0.943142698500833
681,USE,none,median,l1,13.912052396744,0.458098307816277,0.850638534147696
349,USE,lower,mean,l2,0.529433737225704,0.456084656084656,0.942920599666852
152,USE,lower_clean,median,l1,8.14401535760789,0.454496499730749,0.943753470294281
220,USE,lower_clean,median,l2,0.512177076320072,0.454449152542373,0.942809550249861
109,USE,lower_clean,mean,l2,0.812342923489775,0.45290199809705,0.840366463076069
297,USE,lower,mean,l1,13.8459139627124,0.450864699898271,0.850138811771238
93,USE,lower_clean,mean,l2,0.523509884026744,0.448827292110874,0.94258745141588
284,USE,lower,mean,l1,9.45574612087674,0.44869750132908,0.942420877290394
425,USE,lower,median,l1,13.9843426658994,0.447937131630648,0.843975569128262
553,USE,none,mean,l1,13.8730572594537,0.447906129880639,0.84847307051638
44,USE,lower_clean,mean,l1,14.7168701414078,0.447179098826202,0.837867851193781
476,USE,lower,median,l2,0.516889273065607,0.447158789166224,0.942198778456413
28,USE,lower_clean,mean,l1,9.36528099907769,0.445274959957288,0.942309827873403
618,USE,none,mean,l2,0.775781779968279,0.444227005870842,0.842309827873404
490,USE,lower,median,l2,0.77533390959841,0.442367601246106,0.850916157690172
732,USE,none,median,l2,0.518876260135892,0.4419595314164,0.941810105496946
540,USE,none,mean,l1,9.47428300645616,0.441003737319808,0.941865630205442
746,USE,none,median,l2,0.778314390203838,0.436573311367381,0.848084397556913
